,PIR_364mg.kg_5d_NN_OG_Rep1,PIR_364mg.kg_5d_NN_OG_Rep2,PIR_364mg.kg_5d_NN_OG_Rep3,Control_0_5d_NN_OG_Rep1,Control_0_5d_NN_OG_Rep6,Control_0_5d_NN_OG_Rep3
ENSRNOG00000039726,0,0,0,0,0,0
ENSRNOG00000039730,202,197,168,705,848,669
ENSRNOG00000039740,10.25,4.2,4.06,34.17,21.55,25.35
ENSRNOG00000039743,0,0,0,0,0,0
ENSRNOG00000039744,285.41,294.92,386.06,3064.67,1370.47,1118.82
ENSRNOG00000039745,512,516,455,2048,2007,1727
ENSRNOG00000039749,0,0,0,0,0,0
ENSRNOG00000039754,10,5,4,39,24,19
ENSRNOG00000039759,5,2,3,9,8,7
ENSRNOG00000039760,0,0,0,0,0,0
ENSRNOG00000039761,0,0,0,0,0,0
ENSRNOG00000039762,0,0,1,0,3,1
ENSRNOG00000039773,0,0,0,0,0,0
ENSRNOG00000039776,248,238,198,802,705,597
ENSRNOG00000039777,142,130,131,459,441,328
ENSRNOG00000039782,0,0,0,0.26,5.54,2.78
ENSRNOG00000039783,139.14,169.01,144.5,339.58,336.75,215.62
ENSRNOG00000039786,0,0,0,0,0,0
ENSRNOG00000039788,0,0,0,0,0,0
ENSRNOG00000039790,7,6,3,25,11,9
ENSRNOG00000039807,328,308,258,1258,1111,782
ENSRNOG00000039808,0,0,0,0,0,0
ENSRNOG00000039815,132,117,118,411,312,255
ENSRNOG00000039819,284,228,206,700,551,555
ENSRNOG00000039829,129,163,127,480,370,327
ENSRNOG00000039832,0,0,0,0,0,0
ENSRNOG00000039837,34,24,22,118,128,72
ENSRNOG00000039841,0,0,0,0,0,0
ENSRNOG00000039848,248.76,300.84,218.83,606.91,580.07,362.94
ENSRNOG00000039850,109,120,85,205,314,221
ENSRNOG00000039852,147,127,115,557,479,312
ENSRNOG00000039856,0,1,1,1,4,2
ENSRNOG00000039858,31,32,29,216,190,114
ENSRNOG00000039859,220,218,196,1002,739,549
ENSRNOG00000039860,0,0,0,2,0,0
ENSRNOG00000039861,2,4,1,17,12,5
ENSRNOG00000039862,511,488,392,1774,1774,1459
ENSRNOG00000039863,0,0,0,0,0,0
ENSRNOG00000039865,791,838,690,1033,1043,745
ENSRNOG00000039869,0,0,0,0,0,0
ENSRNOG00000039871,179,180,166,428,407,346
ENSRNOG00000039872,0,0,0,0,0,0
ENSRNOG00000039876,269,272,234,890,1050,656
ENSRNOG00000039877,27,40,31,95,94,74
ENSRNOG00000039890,98.54,91.2,78.98,251.95,205.55,161.72
ENSRNOG00000039891,11,4,15,84,42,28
ENSRNOG00000039892,0,0,0,0,0,0
ENSRNOG00000039902,12,15,11,67,57,39
ENSRNOG00000039906,14.93,1,2,39.04,28.82,29
ENSRNOG00000039919,0,0,0,0,0,0
ENSRNOG00000039922,0,0,0,0,0,0
ENSRNOG00000039924,4,4,2,12,9,4
ENSRNOG00000039928,0,0,0,0,0,0
ENSRNOG00000039931,1,2,2,4,6,0
ENSRNOG00000039933,0,0,0,0,0,0
ENSRNOG00000039949,2,1,1,10,10,11
ENSRNOG00000039954,0,0,0,0,0,0
ENSRNOG00000039955,0,0,0,1,1,2
ENSRNOG00000039966,0,1,0,0,0,0
ENSRNOG00000039969,621,713,686,3967,2034,2306
ENSRNOG00000039971,23,24,28,181,156,123
ENSRNOG00000039975,0,0,0,0,0,0
ENSRNOG00000039976,3,5,4,7,8,3
ENSRNOG00000039980,4308.52,4806.93,4109.97,12435.74,11592.9,8681.97
ENSRNOG00000039985,224,225,195,746,686,549
ENSRNOG00000039989,0,0,0,0,0,0
ENSRNOG00000039990,0,0,0,0,0,0
ENSRNOG00000039994,290,268,261,549,475,344
ENSRNOG00000039997,0,0,0,1,1,0
ENSRNOG00000040000,0,0,0,0,0,0
ENSRNOG00000040005,19.74,22.64,0.21,39.26,27.98,29.39
ENSRNOG00000040007,0,0,0,0,0,0
ENSRNOG00000040008,0,0,0,0,0,0
ENSRNOG00000040010,0,0,0,0,0,0
ENSRNOG00000040013,0,0,0,0,0,1
ENSRNOG00000040020,0,0,0,0,0,0
ENSRNOG00000040024,1,0,3,7,6,1
ENSRNOG00000040026,0,0,0,0,0,0
ENSRNOG00000040033,0,0,0,0,0,0
ENSRNOG00000040039,0,0,0,0,0,0
ENSRNOG00000040040,103,95,102,164,138,132
ENSRNOG00000040045,25.34,23.84,26.11,55.96,60.42,22.44
ENSRNOG00000040050,0,0,0,0,0,0
ENSRNOG00000040052,1,3,5.07,8.54,10.4,8.67
ENSRNOG00000040054,0,0,0,0,0,0
ENSRNOG00000040057,0,0,0,0,0,0
ENSRNOG00000040058,0,0,0,0,0,0
ENSRNOG00000040060,0,0,0,0,0,0
ENSRNOG00000040063,0,0,0,0,0,0
ENSRNOG00000040064,0,0,0,0,0,0
ENSRNOG00000040068,0,0,0,0,0,0
ENSRNOG00000040076,0,0,0,0,0,0
ENSRNOG00000040095,0,0,0,0,0,0
ENSRNOG00000040101,0,0,0,0,0,0
ENSRNOG00000040105,0,0,0,0,0,0
ENSRNOG00000040108,4249.22,5115.98,4454.12,997.74,541.18,730.48
ENSRNOG00000040109,0,0,0,4,5,5
ENSRNOG00000040110,316,273,342,1025,639,607
ENSRNOG00000040116,0,0,0,0,0,0
ENSRNOG00000040120,3602.71,3619.23,2951.92,14351.28,20255.97,13641.78
ENSRNOG00000040121,0,0,0,0,0,0
ENSRNOG00000040122,1,0,0,0,0,1
ENSRNOG00000040128,5,5,8,18,20,15
ENSRNOG00000040136,0,1,0,3,1,0
ENSRNOG00000040151,2,0,2,3,0,1
ENSRNOG00000040153,154.7,94.67,51.01,249.38,83.64,130
ENSRNOG00000040166,0,0,0,0,0,0
ENSRNOG00000040183,0,0,0,0,0,0
ENSRNOG00000040188,0,0,0,0,0,0
ENSRNOG00000040189,3,0,0.17,2.67,0,0
ENSRNOG00000040195,216.42,207.55,175.11,2892.09,1931.15,1597.46
ENSRNOG00000040198,0,0,0,0,0,0
ENSRNOG00000040201,13,8,16,28,52,41
ENSRNOG00000040205,720,606,550,3508,2961,2080
ENSRNOG00000040208,0,0,0,0,1,0
ENSRNOG00000040210,0,0,0,0,0,0
ENSRNOG00000040213,1,1,0,0,0,0
ENSRNOG00000040214,7,6,15,57,32,28
ENSRNOG00000040215,19.44,114.61,5.86,101.26,45.24,138.67
ENSRNOG00000040219,0,0,0,0,0,0
ENSRNOG00000040242,20,11,10,23,16,5
ENSRNOG00000040249,0,0,0,0,0,0
ENSRNOG00000040257,429,353,253,814,812,615
ENSRNOG00000040266,6,10,10,15,14,17
ENSRNOG00000040273,24.18,15.51,21.91,49.51,26.87,28.34
ENSRNOG00000040275,0,0,0,0,0,0
ENSRNOG00000040279,64,73,68,245,187,137
ENSRNOG00000040281,42,63,48,175,180,125
ENSRNOG00000040284,0,0,0,0,0,0
ENSRNOG00000040287,4,5,8,14,28,12
ENSRNOG00000040289,638,690,574,866,679,565
ENSRNOG00000040297,357,360,319,1160,955,722
ENSRNOG00000040300,1,0,0,1,0,1
ENSRNOG00000040301,1,0,1,1,1,0
ENSRNOG00000040303,11,11,11,30,32,27
ENSRNOG00000040314,0,0,0,0,0,0
ENSRNOG00000040316,0,0,0,1,0,0
ENSRNOG00000040333,0,0,0,0,0,0
ENSRNOG00000040346,0,0,0,0,0,0
ENSRNOG00000040350,0,0,0,0,0,0
ENSRNOG00000040351,0,0,0,0,0,0
ENSRNOG00000040354,0,0,0,0,0,0
ENSRNOG00000040355,0,0,0,0,0,0
ENSRNOG00000040357,0,0,0,0,0,0
ENSRNOG00000040358,0,0,0,0,0,0
ENSRNOG00000040372,0,0,0,0,0,0
ENSRNOG00000040376,0,0,0,0,0,0
ENSRNOG00000040381,0,0,0,0,0,0
ENSRNOG00000040383,0,0,0,0,0,0
ENSRNOG00000040384,0,0,0,0,0,0
ENSRNOG00000040385,0,0,0,0,0,0
ENSRNOG00000040386,0,0,0,0,0,0
ENSRNOG00000040387,0,0,0,0,0.97,0
ENSRNOG00000040393,0,0,0,0,0,0
ENSRNOG00000040395,0,0,0,0,0,0
ENSRNOG00000040402,0,0,0,0,0,0
ENSRNOG00000040404,0,0,0,0,0,0
ENSRNOG00000040406,0,0,0,0,0,0
ENSRNOG00000040416,0,0,0,0,0,0
ENSRNOG00000040422,0,0,0,0,0,0
ENSRNOG00000040424,0,0,0,0,0,0
ENSRNOG00000040427,0,0,0,0,0,0
ENSRNOG00000040429,0,0,0,0,0,0
ENSRNOG00000040434,0,0,0,0,0,0
ENSRNOG00000040436,0,0,0,0,0,0
ENSRNOG00000040438,0,0,0,0,0,0
ENSRNOG00000040440,0,0,0,0,0,0
ENSRNOG00000040443,0,0,0,0,0,0
ENSRNOG00000040445,0,0,0,0,0,0
ENSRNOG00000040447,0,0,0,0,0,0
ENSRNOG00000040448,0,0,0,0,0,0
ENSRNOG00000040458,0,0,0,0,0,0
ENSRNOG00000040462,0,0,0,0,0,0
ENSRNOG00000040532,0,0,0,0,0,0
ENSRNOG00000040595,0,0,0,0,0,0
ENSRNOG00000040652,0,0,0,0,0,0
ENSRNOG00000040715,1,0,0,0,0,0
ENSRNOG00000040749,0,0,0,0,0,0
ENSRNOG00000040821,0,0,0,0,0,0
ENSRNOG00000040834,0,0,0,0,0,0
ENSRNOG00000040878,0,0,0,0,0,0
ENSRNOG00000041010,0,0,0,0,0,0
ENSRNOG00000041036,0,0,0,0,0,0
ENSRNOG00000041053,0,0,0,0,0,0
ENSRNOG00000041170,0,0,0,0,0,0
ENSRNOG00000041197,0,0,0,0,0,0
ENSRNOG00000041199,0,0,0,0,0,0
ENSRNOG00000041209,0,0,0,0,0,0
ENSRNOG00000041210,0,0,0,0,0,0
ENSRNOG00000041219,0,0,0,0,0,0
ENSRNOG00000041223,0,0,0,0,0,0
ENSRNOG00000041228,0,0,0,0,0,0
ENSRNOG00000041236,0,0,0,0,0,0
ENSRNOG00000041243,0,0,0,0,0,0
ENSRNOG00000041245,0,0,0,0,0,0
ENSRNOG00000041249,0,0,0,0,0,0
ENSRNOG00000041256,0,0,0,0,0,0
ENSRNOG00000041258,0,0,0,0,0,0
ENSRNOG00000041260,0,0,0,0,0,0
ENSRNOG00000041270,0,0,0,0,0,0
ENSRNOG00000041287,0,0,0,0,0,0
ENSRNOG00000041288,0,0,0,0,0,0
ENSRNOG00000041291,0,0,0,0,0,0
ENSRNOG00000041292,0,0,0,0,0,0
ENSRNOG00000041296,0,0,0,0,0,0
ENSRNOG00000041297,0,0,0,0,0,0
ENSRNOG00000041299,0,0,0,0,0,0
ENSRNOG00000041300,0,0,0,0,0,0
ENSRNOG00000041302,0,0,0,0,0,0
ENSRNOG00000041305,0,0,0,0,0,0
ENSRNOG00000041307,0,0,0,0,0,0
ENSRNOG00000041308,0,0,0,0,0,0
ENSRNOG00000041315,0,0,0,0,0,0
ENSRNOG00000041319,0,0,0,0,0,0
ENSRNOG00000041320,0,0,0,0,0,0
ENSRNOG00000041321,0,0,0,0,0,0
ENSRNOG00000041322,0,0,0,0,0,0
ENSRNOG00000041327,0,0,0,0,0,0
ENSRNOG00000041330,0,0,0,0,0,0
ENSRNOG00000041331,0,0,0,0,0,0
ENSRNOG00000041334,0,0,0,0,0,0
ENSRNOG00000041336,0,0,0,0,0,0
ENSRNOG00000041347,0,0,0,0,0,0
ENSRNOG00000041348,0,0,0,0,0,0
ENSRNOG00000041356,0,0,0,0,0,0
ENSRNOG00000041361,0,0,0,0,0,0
ENSRNOG00000041366,0,0,0,0,0,0
ENSRNOG00000041369,0,0,0,0,0,0
ENSRNOG00000041381,0,0,0,0,0,0
ENSRNOG00000041393,0,0,0,0,0,0
ENSRNOG00000041395,0,0,0,0,0,0
ENSRNOG00000041411,0,0,0,0,0,0
ENSRNOG00000041423,0,0,0,0,0,0
ENSRNOG00000041433,0,0,0,0,0,0
ENSRNOG00000041434,0,0,0,0,0,0
ENSRNOG00000041435,0,0,0,0,0,0
ENSRNOG00000041437,0,0,0,0,0,0
ENSRNOG00000041438,0,0,0,0,0,0
ENSRNOG00000041441,0,0,0,0,0,0
ENSRNOG00000041443,0,0,0,0,0,0
ENSRNOG00000041444,0,0,0,0,0,0
ENSRNOG00000041447,0,0,0,0,0,0
ENSRNOG00000041449,0,0,0,0,0,0
ENSRNOG00000041450,0,0,0,0,0,0
ENSRNOG00000041453,0,0,0,0,0,0
ENSRNOG00000041456,0,0,0,0,0,0
ENSRNOG00000041461,0,0,0,0,0,0
ENSRNOG00000041466,0,0,0,0,0,0
ENSRNOG00000041468,0,0,0,0,0,0
ENSRNOG00000041469,0,0,0,1,0,0
ENSRNOG00000041470,0,0,0,0,0,0
ENSRNOG00000041471,0,0,0,0,0,0
ENSRNOG00000041473,0,0,0,0,0,0
ENSRNOG00000041475,0,0,0,0,0,0
ENSRNOG00000041485,0,0,0,0,0,0
ENSRNOG00000041490,0,0,0,0,0,0
ENSRNOG00000041492,0,0,0,0,0,0
ENSRNOG00000041503,0,0,0,0,0,0
ENSRNOG00000041504,0,0,0,0,0,0
ENSRNOG00000041506,0,0,0,0,0,0
ENSRNOG00000041515,0,0,0,0,0,0
ENSRNOG00000041518,0,0,0,0,0,0
ENSRNOG00000041520,0,0,0,0,0,0
ENSRNOG00000041521,0,0,0,0,0,0
ENSRNOG00000041523,0,0,0,0,0,0
ENSRNOG00000041525,0,0,0,0,0,0
ENSRNOG00000041530,0,0,0,0,0,0
ENSRNOG00000041535,0,0,0,0,0,0
ENSRNOG00000041538,0,0,0,0,0,0
ENSRNOG00000041539,0,0,0,0,0,0
ENSRNOG00000041541,0,0,0,0,0,0
ENSRNOG00000041542,0,0,0,0,0,0
ENSRNOG00000041549,0,0,0,0,0,0
ENSRNOG00000041552,0,0,0,0,0,0
ENSRNOG00000041554,0,0,0,0,0,0
ENSRNOG00000041560,0,0,0,0,0,0
ENSRNOG00000041563,0,0,0,0,0,0
ENSRNOG00000041566,0,0,0,0,0,0
ENSRNOG00000041572,0,0,0,0,0,0
ENSRNOG00000041575,0,0,0,0,0,0
ENSRNOG00000041577,0,0,0,0,0,0
ENSRNOG00000041579,0,0,0,0,0,0
ENSRNOG00000041583,0,0,0,0,0,0
ENSRNOG00000041589,0,0,0,0,0,0
ENSRNOG00000041600,0,0,0,0,0,0
ENSRNOG00000041601,0,0,0,0,0,0
ENSRNOG00000041603,0,0,0,0,0,0
ENSRNOG00000041604,0,0,0,0,0,0
ENSRNOG00000041606,0,0,0,0,0,0
ENSRNOG00000041608,0,0,0,0,0,0
ENSRNOG00000041609,0,0,0,0,0,0
ENSRNOG00000041610,0,0,0,0,0,0
ENSRNOG00000041612,0,0,0,0,0,0
ENSRNOG00000041613,0,0,0,0,0,0
ENSRNOG00000041621,0,0,0,0,0,0
ENSRNOG00000041622,0,0,0,0,0,0
ENSRNOG00000041624,0,0,0,0,0,0
ENSRNOG00000041626,0,0,0,0,0,0
ENSRNOG00000041628,0,0,0,0,0,0
ENSRNOG00000041637,0,0,0,0,0,0
ENSRNOG00000041639,0,0,0,0,0,0
ENSRNOG00000041641,0,0,0,0,0,0
ENSRNOG00000041648,0,0,0,0,0,0
ENSRNOG00000041652,0,0,0,0,0,0
ENSRNOG00000041670,0,0,0,0,0,0
ENSRNOG00000041673,0,0,0,0,0,0
ENSRNOG00000041675,0,0,0,0,0,0
ENSRNOG00000041679,0,0,0,0,0,0
ENSRNOG00000041705,0,0,0,0,0,0
ENSRNOG00000041708,0,0,0,0,0,0
ENSRNOG00000041717,0,0,0.51,5.17,0,0.92
ENSRNOG00000041720,0,0,0,0,0,0
ENSRNOG00000041721,0,0,0,0,0,0
ENSRNOG00000041723,0,0,0,0,0,0
ENSRNOG00000041725,0,0,0,0,0,0
ENSRNOG00000041728,0,0,0,0,0,0
ENSRNOG00000041730,0,0,0,0,0,0
ENSRNOG00000041735,0,0,0,0,0,0
ENSRNOG00000041737,0,0,0,0,0,0
ENSRNOG00000041744,0,0,0,0,0,0
ENSRNOG00000041746,0,0,0,0,0,0
ENSRNOG00000041749,0,0,0,0,0,0
ENSRNOG00000041758,0,0,0,0,0,0
ENSRNOG00000041762,0,0,0,0,0,0
ENSRNOG00000041764,0,0,0,0,0,0
ENSRNOG00000041777,0,0,0,0,0,0
ENSRNOG00000041787,0,0,0,0,0,0
ENSRNOG00000041792,0,0,0,0,0,0
ENSRNOG00000041822,0,0,0,0,0,0
ENSRNOG00000041826,0,0,0,0,0,0
ENSRNOG00000041834,0,0,0,0,0,0
ENSRNOG00000041845,0,0,0,0,0,0
ENSRNOG00000041847,0,0,0,0,0,0
ENSRNOG00000041851,0,0,0,0,0,0
ENSRNOG00000041852,0,0,0,0,0,0
ENSRNOG00000041857,0,0,0,0,0,0
ENSRNOG00000041864,0,0,0,0,0,0
ENSRNOG00000041865,0,0,0,0,0,0
ENSRNOG00000041867,0,0,0,0,0,0
ENSRNOG00000041870,0,0,0,0,0,0
ENSRNOG00000041875,0,0,0,0,0,0
ENSRNOG00000041877,0,0,0,0,0,0
ENSRNOG00000041881,0,0,0,0,0,0
ENSRNOG00000041892,0,0,0,0,0,0
ENSRNOG00000041894,0,0,0,0,0,0
ENSRNOG00000041897,0,0,0,0,0,0
ENSRNOG00000041898,0,0,0,0,0,0
ENSRNOG00000041899,0,0,0,0,0,0
ENSRNOG00000041913,0,0,0,0,0,0
ENSRNOG00000041930,0,0,0,0,0,0
ENSRNOG00000041942,0,0,0,0,0,0
ENSRNOG00000041962,0,0,0,0,0,0
ENSRNOG00000041964,0,0,0,0,0,0
ENSRNOG00000041968,0,0,0,0,0,0
ENSRNOG00000041970,0,0,0,0,0,0
ENSRNOG00000041974,0,0,0,0,0,0
ENSRNOG00000041989,0,0,0,0,0,0
ENSRNOG00000041998,0,0,0,0,0,0
ENSRNOG00000041999,0,0,0,0,0,0
ENSRNOG00000042007,0,0,0,0,0,0
ENSRNOG00000042010,0,0,0,0,0,0
ENSRNOG00000042015,0,0,0,0,0,0
ENSRNOG00000042018,0,0,0,0,0,0
ENSRNOG00000042023,0,0,0,0,0,0
ENSRNOG00000042025,0,0,0,2,0,0
ENSRNOG00000042026,2,1,2,0,0,0
ENSRNOG00000042029,4,1,3,14,13,7
ENSRNOG00000042030,0,0,0,0,0,0
ENSRNOG00000042032,0,0,0,0,0,0
ENSRNOG00000042034,0,0,0,0,0,0
ENSRNOG00000042036,0,1,0,0,1,1
ENSRNOG00000042037,368,359,273,1043,901,710
ENSRNOG00000042041,6,2,5,1,2,3
ENSRNOG00000042044,345,329,297,1141,1016,737
ENSRNOG00000042047,0,0,0,0,0,0
ENSRNOG00000042054,0,0,0,0,0,0
ENSRNOG00000042056,3,1,1,4,0,2
ENSRNOG00000042059,5,9,8,20,20,9
ENSRNOG00000042061,1.02,0,0,2.03,0,3.1
ENSRNOG00000042062,0,1,0,10,7,7
ENSRNOG00000042065,0,0,0,0,0,0
ENSRNOG00000042068,230,280,227,802,668,553
ENSRNOG00000042070,18,28,45,115,78,80
ENSRNOG00000042078,1,0,0,4,3,3
ENSRNOG00000042080,3,1,1,22,2,5
ENSRNOG00000042083,0,4,0,176.22,3,2
ENSRNOG00000042084,4382,5619,5022,12181,14450,9912
ENSRNOG00000042086,4,4,3,6,14,14
ENSRNOG00000042090,0,0,0,0,0,0
ENSRNOG00000042094,101,73,88,517,483,312
ENSRNOG00000042099,0,0,0,0,0,0
ENSRNOG00000042101,1,0,0,3,2,2
ENSRNOG00000042103,0,0,0,5,11,7
ENSRNOG00000042105,0,0,0,0,0,0
ENSRNOG00000042111,671.17,1571.06,497.54,2397.08,1706.68,2618.01
ENSRNOG00000042112,0,0,0,0,0,0
ENSRNOG00000042114,24,33,29,118,109,49
ENSRNOG00000042118,28,20,33,81,31,44
ENSRNOG00000042119,0,0,0,0,0,0
ENSRNOG00000042120,0,0,0,1,2,0
ENSRNOG00000042126,66,69,53,160,149,128
ENSRNOG00000042133,0,0,0,0,0,0
ENSRNOG00000042137,11,7,9,74,39,37
ENSRNOG00000042139,25,22,43,239,194,150
ENSRNOG00000042140,1,0,0,9,7,3
ENSRNOG00000042147,0,0,0,0,0,0
ENSRNOG00000042149,0,1,1,0,0,0
ENSRNOG00000042152,2,2.38,0,8,11,5
ENSRNOG00000042156,0,0,0,0,1,0
ENSRNOG00000042158,0,0,0,0,0,0
ENSRNOG00000042160,78,75.56,80,309.97,273,178.78
ENSRNOG00000042162,14,17,15,30,36,21
ENSRNOG00000042163,92,79,76,149,116,110
ENSRNOG00000042164,0,0,0,0,0,0
ENSRNOG00000042165,0,0,0,0,0,1
ENSRNOG00000042166,0,0,0,0,0,0
ENSRNOG00000042179,195,185,169,501,385,321
ENSRNOG00000042181,0,0,0,0,0,0
ENSRNOG00000042182,21,29,13,141,170,200
ENSRNOG00000042186,0,0,0,0,0,0
ENSRNOG00000042189,64,57,50,288,227,154
ENSRNOG00000042193,0,1,1,5,0,0
ENSRNOG00000042195,687,782,707,2211,2181,1607
ENSRNOG00000042197,0,0,0,8,3,2
ENSRNOG00000042201,3,4,3,10,8,5
ENSRNOG00000042206,0,0,0,0,0,0
ENSRNOG00000042208,0,0,0,0,0,0
ENSRNOG00000042211,0,0,0,0,0,0
ENSRNOG00000042213,92,82.24,85.17,270.01,185.85,131.88
ENSRNOG00000042216,0,0,0,0,0,0
ENSRNOG00000042220,0,0,0,2,0,1
ENSRNOG00000042222,0,0,0,0,0,0
ENSRNOG00000042224,2009,2444,2303,3501,3222,2275
ENSRNOG00000042226,0,0,0,0,0,0
ENSRNOG00000042227,0,0,0,0,0,0
ENSRNOG00000042228,8083.9,10665.95,7471.6,21578.89,13406.17,15169.57
ENSRNOG00000042229,7,7,6,30,30,28
ENSRNOG00000042230,6,3,5,113,41,31
ENSRNOG00000042232,53,62,56,402,345,286
ENSRNOG00000042233,2754,3183,2791,8825,8003,5476
ENSRNOG00000042235,0,0,0,0,0,0
ENSRNOG00000042237,310,289,220,939,1015,710
ENSRNOG00000042245,381,378,342,1669,1471,1028
ENSRNOG00000042246,0,0,0,0,0,0
ENSRNOG00000042248,0,0,0,0,0,0
ENSRNOG00000042250,0,0,0,0,0,0
ENSRNOG00000042251,4,4,1,20.35,19.86,0
ENSRNOG00000042252,0,0,0,0,0,1.02
ENSRNOG00000042253,118,87,104,486,304,336
ENSRNOG00000042255,0,0,0,0,0,0
ENSRNOG00000042258,12,9,9,116,63,23
ENSRNOG00000042259,0,0,0,0,0,0
ENSRNOG00000042261,551,582,427,1568,1481,1190
ENSRNOG00000042262,0,0,0,0,0,0
ENSRNOG00000042264,0,1,2,3,2,5.34
ENSRNOG00000042265,0,0,0,0,0,0
ENSRNOG00000042266,0,0,0,0,0,0
ENSRNOG00000042267,0,1,0,0,0,0
ENSRNOG00000042269,0,0,0,0,0,2
ENSRNOG00000042271,4962,5154,5126,19109,16572,12544
ENSRNOG00000042274,491,421,421,1761,1100,781
ENSRNOG00000042276,21,23,37,90,83,67
ENSRNOG00000042277,0,0,0,0,0,0
ENSRNOG00000042281,0,0,0,0,0,0
ENSRNOG00000042283,44,43,41,164,117,82
ENSRNOG00000042286,17,6,6,48,31,33
ENSRNOG00000042287,0,0,0,0,0,0
ENSRNOG00000042289,35,57,47,126,132,133
ENSRNOG00000042292,0,0,0,2.97,0,4.51
ENSRNOG00000042296,0,0,0,0,0,0
ENSRNOG00000042305,0,0,0,0,0,0
ENSRNOG00000042308,116,119,90,144,164,74
ENSRNOG00000042309,0,0,0,3,2,3
ENSRNOG00000042312,2.43,0,4.92,13.51,6.74,6.42
ENSRNOG00000042317,1,0,1,6,19,7
ENSRNOG00000042318,1812,1809,1406,6042,5590,3559
ENSRNOG00000042319,0,3,1,13,5,0
ENSRNOG00000042320,85,106,74,290,248,180
ENSRNOG00000042321,0,0,0,0,0,0
ENSRNOG00000042322,2,0,0,4,7,3
ENSRNOG00000042326,7.05,13.12,6.03,15.04,29.11,37.47
ENSRNOG00000042327,0,0,0,0,0,0
ENSRNOG00000042329,0,0,0,0,0,0
ENSRNOG00000042330,2,0,1,5,0,3
ENSRNOG00000042332,0,0,0,1,2,0
ENSRNOG00000042333,35,22,25,99,60,49
ENSRNOG00000042335,0,0,0,0,0,0
ENSRNOG00000042340,28,26,29,122,83,86
ENSRNOG00000042344,7,4,7,66,35,36
ENSRNOG00000042347,20,15.23,19,97,47,43
ENSRNOG00000042352,8,16,9,5,7,3
ENSRNOG00000042353,83,84,76,578,323,337
ENSRNOG00000042355,176,163,149,480,468,354
ENSRNOG00000042359,703,658,602,2014,1634,1279
ENSRNOG00000042360,1,0,0,6,3,4
ENSRNOG00000042367,0,0,1,0,0,1
ENSRNOG00000042369,1699.47,2198.52,1755.49,11113.86,9977.71,7254.42
ENSRNOG00000042370,0,0,0,0,0,0
ENSRNOG00000042372,0,1,1,1,5,0
ENSRNOG00000042373,0,0,0,0,0,0
ENSRNOG00000042374,14,22.42,14,81,60,57
ENSRNOG00000042376,2,5,4,23,17,8
ENSRNOG00000042380,2,0,0,4,3,0
ENSRNOG00000042383,0,0,0,0,0,0
ENSRNOG00000042384,9,7,11,84,59,70
ENSRNOG00000042387,4.48,8.07,4.03,18.26,12.1,7.03
ENSRNOG00000042389,137,186,161,640,526,341
ENSRNOG00000042391,0,0,0,0,1,0
ENSRNOG00000042394,0,0,0,0,0,0
ENSRNOG00000042397,0,0,0,0,0,0
ENSRNOG00000042404,8,4,6,26,12,9
ENSRNOG00000042407,0,0,0,0,0,0
ENSRNOG00000042410,2.35,1.54,3.06,9.23,6.17,6.84
ENSRNOG00000042411,418,442,335,1693,1663,1229
ENSRNOG00000042414,9,6,10,23,23,15
ENSRNOG00000042419,49,46,44,92,65,56
ENSRNOG00000042421,87,95,77,370,361,249
ENSRNOG00000042424,0,0,0,0,0,0
ENSRNOG00000042426,1585,1728,1050,11263,12490,8939
ENSRNOG00000042427,74,72,78,300,322,252
ENSRNOG00000042432,11.56,27,21,59,57,31
ENSRNOG00000042441,1,0,0,1,0,0
ENSRNOG00000042445,4,4,10,24,13,14
ENSRNOG00000042446,0,0,0,1,1,4
ENSRNOG00000042449,231.6,222.87,202.83,741.78,660.91,503
ENSRNOG00000042451,49,50,63,135,139,68
ENSRNOG00000042455,9,6,4,80,49,23
ENSRNOG00000042458,58,50,58,183,135,122
ENSRNOG00000042460,0,0,0,0,0,0
ENSRNOG00000042462,0,0,0,1,0,0
ENSRNOG00000042464,34,41,33,127,98,79
ENSRNOG00000042465,0,0,0,6,0,6
ENSRNOG00000042467,253,236,185,840,747,593
ENSRNOG00000042468,1,0,1,6,0,0
ENSRNOG00000042470,0,0,2,0,0,0
ENSRNOG00000042471,0,0,0,1,0,1
ENSRNOG00000042473,0,0,0,0,0,0
ENSRNOG00000042474,0,0,0,0,0,0
ENSRNOG00000042477,0,0,0,0,0,0
ENSRNOG00000042478,74,93,78,9,12,6
ENSRNOG00000042480,0,0,0,0,0,0
ENSRNOG00000042482,308,320,262,953,820,669
ENSRNOG00000042486,0,0,0,0,0,0
ENSRNOG00000042492,642,697,640,2016,1937,1695
ENSRNOG00000042494,0,0,0,0,0,0
ENSRNOG00000042496,16.31,49.11,33.21,71.78,22.53,17.14
ENSRNOG00000042497,0,0,0,0,0,0
ENSRNOG00000042499,750,419,568,1434.99,675,432
ENSRNOG00000042501,241,220,228,875,655,476
ENSRNOG00000042502,0,0,0,0,0,0
ENSRNOG00000042503,1125,1263,1069,2932,3062,2311
ENSRNOG00000042504,12,30,22,98,79,73
ENSRNOG00000042507,1,0,0,0,0,0
ENSRNOG00000042516,0,0,0,1,0,0
ENSRNOG00000042517,0,0,0,0,0,0
ENSRNOG00000042519,153,120,133,501,335,281
ENSRNOG00000042522,4,3,2,13,15,8
ENSRNOG00000042523,193,222,200,602,597,509
